"utm","x","y"
"NJ74",-8.06873076762,43.7542347728
"NJ84",-7.94453366365,43.7531554917
"NJ94",-7.82034337442,43.7519409596
"PJ04",-7.69616177323,43.750591275
"PJ14",-7.57198974564,43.7491064974
"PJ24",-7.44782667315,43.7474876879
"NJ63",-8.19414133037,43.6651468737
"NJ73",-8.07012303097,43.6642063791
"NJ83",-7.94611167531,43.6631310631
"NJ93",-7.82210751753,43.6619198331
"PJ03",-7.69811197654,43.6605738954
"PJ13",-7.5741244837,43.6590942969
"PJ23",-7.45014796931,43.6574812318
"PJ33",-7.32618107355,43.6557323445
"NJ52",-8.31918093545,43.5759196468
"NJ62",-8.19534236418,43.5751149091
"NJ72",-8.07150940773,43.5741768374
"NJ82",-7.94768338067,43.5731043977
"QJ23",-6.2111083995,43.6339561537
"NJ92",-7.82386402137,43.5718975442
"QJ33",-6.08729588439,43.6308664656
"PJ02",-7.70005220544,43.5705563436
"QJ43",-6.01281878195,43.6276271356
"TP63",-5.91305906268,43.6308673137
"TP73",-5.78924703569,43.6339578022
"PJ12",-7.5762498922,43.5690808705
"PJ22",-7.4524575262,43.567472275
"PJ32",-7.32867634616,43.5657294944
"PJ42",-7.20490609796,43.5638525533
"PJ52",-7.08114720797,43.5618425432
"PJ62",-6.95740354086,43.5596975292
"PJ72",-6.83367248855,43.557418403
"PJ82",-6.70995738986,43.5550065454
"NJ51",-8.32019347228,43.4858846312
"PJ92",-6.58625703708,43.5524618706
"NJ61",-8.19653839783,43.4850818369
"QJ02",-6.46257429281,43.5497823432
"NJ71",-8.0728899227,43.4841461858
"QJ12",-6.33890790886,43.5469678905
"NJ81",-7.94924687597,43.4830776135
"QJ22",-6.21526046106,43.544022045
"NJ91",-7.82561150467,43.4818751199
"QJ32",-6.09163276679,43.5409426289
"PJ01",-7.70198406139,43.4805375789
"QJ42",-6.01502763946,43.5378524937
"TP52",-5.98532692714,43.5378522666
"TP62",-5.90872213264,43.540942078
"TP72",-5.78509384113,43.5440229332
"TP82",-5.66144638663,43.5469702546
"TP92",-5.53778061496,43.5497839866
"UP02",-5.41409737277,43.5524640765
"UP12",-5.29039750745,43.5550104737
"PJ11",-7.57836607061,43.4790662006
"PJ21",-7.45475695419,43.4774620448
"PJ31",-7.33115955471,43.4757253068
"PJ41",-7.20757257376,43.473855868
"NJ10",-8.81512342883,43.3977117221
"PJ51",-7.08399879267,43.4718517301
"PJ61",-6.96043707338,43.4697127224
"PJ71",-6.83688991741,43.4674402109
"NJ40",-8.44467617719,43.396513401
"PJ81",-6.7133576353,43.4650352985
"NJ50",-8.32120022527,43.3958473399
"PJ91",-6.58984164339,43.4624992309
"NJ60",-8.19772940785,43.3950476665
"QJ01",-6.46634109804,43.4598285529
"NJ70",-8.07426314321,43.3941154561
"QJ11",-6.34285888802,43.4570235298
"NJ80",-7.95080367345,43.3930496751
"QJ21",-6.21939394341,43.4540862763
"NJ90",-7.82735188419,43.3918504285
"QJ31",-6.09594852494,43.4510158939
"PJ00",-7.7039069878,43.3905164621
"QJ41",-6.01722758961,43.4480226142
"TP51",-5.98312632413,43.4480222069
"TP61",-5.90440521075,43.4510150778
"TP71",-5.78095980971,43.4540863281
"TP81",-5.65749535086,43.4570244599
"TP91",-5.53401267541,43.4598294182
"UP01",-5.41051262538,43.4625011502
"UP11",-5.28699604352,43.4650396058
"UP21",-5.1634637733,43.4674447373
"UP31",-5.03991665889,43.4697164996
"UP41",-4.91635554508,43.47185485
"UP51",-4.79278127728,43.4738597483
"VP11",-4.05110684629,43.4830847098
"VP21",-3.92746421508,43.4841545288
"VP31",-3.80381521054,43.4850906645
"VP41",-3.6801606819,43.4858930992
"VP51",-3.55650147862,43.4865618179
"VP61",-3.43283845034,43.4870968079
"WP01",-2.93816508556,43.4878993182
"WP11",-2.81449568175,43.4877655644
"WP21",-2.6908275531,43.4874980593
"PJ10",-7.58047204191,43.3890502495
"PJ20",-7.45704589908,43.3874516534
"PJ30",-7.33363079481,43.3857197365
"NH09",-8.93870015573,43.3078001026
"PJ40",-7.21022709553,43.3838556375
"NH19",-8.81539649549,43.3076675842
"PJ50",-7.08683612458,43.3818582839
"NH29",-8.69209456819,43.3074017643
"PJ60",-6.9634571607,43.3797265569
"NH39",-8.56879378217,43.3070037118
"PJ70",-6.84009305848,43.3774605758
"NH49",-8.44549642099,43.3064724125
"PJ80",-6.7167427478,43.3750625931
"NH59",-8.3222033162,43.3058078852
"PJ90",-6.59340867504,43.3725338108
"NH69",-8.19891386348,43.3050111936
"QJ00",-6.47009152842,43.3698721402
"NH79",-8.07563038715,43.3040813422
"QJ10",-6.34679060778,43.3670763267
"NH89",-7.95235364439,43.3030183721
"QJ20",-6.22350829725,43.3641477372
"NH99",-7.82908315587,43.3018233357
"QJ30",-6.10024538936,43.3610864099
"PH09",-7.70582155882,43.3004941416
"QJ40",-6.01941819385,43.3581561349
"TP50",-5.98093505306,43.3581559909
"TP60",-5.90010818722,43.3610863155
"TP70",-5.77684483625,43.364147989
"TP80",-5.65356253182,43.3670769582
"TP90",-5.53026211058,43.3698731683
"UP00",-5.40694440993,43.3725365669
"UP10",-5.28361026805,43.3750671042
"UP20",-5.1602605238,43.3774647327
"UP30",-5.03689601673,43.3797294074
"UP40",-4.91351758701,43.381861086
"UP50",-4.79012607542,43.3838597285
"UP60",-4.66672232332,43.3857252973
"UP70",-4.54330717257,43.3874577576
"UP80",-4.41988146555,43.3890570768
"UP90",-4.29644604506,43.3905232248
"VP00",-4.17300175436,43.3918561743
"VP10",-4.04954943706,43.3930559002
